local authority: district / unitary (prior to April 2015);mnemonic;Age 16 to 24: Total;Age 25 to 34: Total;Age 35 to 54: Total;Age 55 to 64: Total;Age 65 to 74: Total;Age 75 and over: Total;Age 16 to 24: Percent;Age 25 to 34: Percent;Age 35 to 54: Percent;Age 55 to 64: Percent;Age 65 to 74: Percent;Age 75 and over: Percent
Darlington;E06000005;11051;12938;29571;12920;9598;7876;13.16;15.41;35.22;15.39;11.43;9.38
County Durham;E06000047;56322;57736;142099;67936;50340;38184;13.65;13.99;34.44;16.46;12.2;9.25
Hartlepool;E06000001;10960;10645;25487;11363;8085;6756;14.95;14.52;34.77;15.5;11.03;9.22
Middlesbrough;E06000002;18899;17944;36021;15355;10736;9206;17.47;16.59;33.3;14.2;9.93;8.51
Northumberland;E06000057;30108;31614;88184;46406;34060;26525;11.72;12.31;34.33;18.06;13.26;10.33
Redcar and Cleveland;E06000003;15199;14576;36805;17874;14282;11027;13.85;13.28;33.53;16.28;13.01;10.05
Stockton-on-Tees;E06000004;22099;23478;53541;23105;15927;12709;14.65;15.56;35.49;15.32;10.56;8.42
Gateshead;E08000037;20992;27126;55998;24139;18458;15540;12.94;16.72;34.51;14.88;11.38;9.58
Newcastle upon Tyne;E08000021;49491;40493;68164;28333;19137;17701;22.16;18.13;30.52;12.69;8.57;7.93
North Tyneside;E08000022;19923;25694;58103;25718;17951;16046;12.19;15.72;35.55;15.74;10.98;9.82
South Tyneside;E08000023;16837;17173;41794;19080;13512;12411;13.94;14.22;34.6;15.79;11.18;10.27
Sunderland;E08000024;32854;32550;77568;35415;24835;20500;14.69;14.55;34.67;15.83;11.1;9.16
Blackburn with Darwen;E06000008;17349;20753;39547;15673;10238;8068;15.54;18.59;35.43;14.04;9.17;7.23
Blackpool;E06000009;15209;16120;38628;17161;13971;11669;13.49;14.3;34.26;15.22;12.39;10.35
Cheshire East;E06000049;34863;38295;108118;49566;37678;30818;11.65;12.79;36.12;16.56;12.59;10.3
Cheshire West and Chester;E06000050;35116;36780;94292;43103;32553;26364;13.09;13.71;35.16;16.07;12.14;9.83
Halton;E06000006;14392;15780;35276;16602;10288;7615;14.4;15.79;35.29;16.61;10.29;7.62
Warrington;E06000007;21144;24189;59748;24112;18026;12872;13.21;15.11;37.32;15.06;11.26;8.04
Allerdale;E07000026;9121;9429;26990;14051;10747;8430;11.58;11.97;34.27;17.84;13.64;10.7
Barrow-in-Furness;E07000027;7545;7503;19523;9081;7192;5266;13.45;13.37;34.79;16.18;12.82;9.39
Carlisle;E07000028;11577;12732;30316;13944;10299;8853;13.2;14.51;34.56;15.9;11.74;10.09
Copeland;E07000029;6988;7420;20250;9810;7374;5502;12.19;12.94;35.31;17.11;12.86;9.59
Eden;E07000030;4500;4611;14818;8048;6251;4847;10.45;10.7;34.4;18.68;14.51;11.25
South Lakeland;E07000031;8080;9019;28071;15826;13069;11093;9.49;10.59;32.96;18.58;15.35;13.03
Bolton;E08000001;31925;35414;77070;32136;23424;17917;14.65;16.25;35.37;14.75;10.75;8.22
Bury;E08000002;19556;23004;52910;22172;16148;12209;13.39;15.76;36.24;15.19;11.06;8.36
Manchester;E08000003;82709;100016;117896;37575;24415;21180;21.55;26.06;30.72;9.79;6.36;5.52
Oldham;E08000004;26419;29164;60665;25025;18084;13378;15.29;16.88;35.12;14.49;10.47;7.74
Rochdale;E08000005;25328;27229;57970;24678;16502;13094;15.37;16.52;35.18;14.97;10.01;7.95
Salford;E08000006;28743;37404;61325;23813;17336;14627;15.69;20.41;33.47;12.99;9.46;7.98
Stockport;E08000007;28358;32948;81615;35327;26345;22942;12.46;14.48;35.87;15.53;11.58;10.08
Tameside;E08000008;24885;27864;62964;26392;18906;14037;14.22;15.92;35.97;15.08;10.8;8.02
Trafford;E08000009;22403;28728;67627;25478;18212;17016;12.48;16.01;37.68;14.2;10.15;9.48
Wigan;E08000010;34637;39168;92512;39437;30112;19914;13.54;15.31;36.17;15.42;11.77;7.79
Burnley;E07000117;9977;11050;23530;11018;7525;5895;14.46;16.02;34.1;15.97;10.91;8.54
