local authority: district / unitary (prior to April 2015);mnemonic;All categories: Economic activity;Economically active: Employee: Part-time;Economically active: Employee: Full-time;Economically active: Self-employed with employees: Part-time;Economically active: Self-employed with employees: Full-time;Economically active: Self-employed without employees: Part-time;Economically active: Self-employed without employees: Full-time;Economically active: Unemployed;Economically active: Full-time student;Economically inactive: Retired;Economically inactive: Student (including full-time students);Economically inactive: Looking after home or family;Economically inactive: Long-term sick or disabled;Economically inactive: Other
Darlington;E06000005;76635;11555;30337;234;1254;1289;2818;4002;1954;12214;2742;3081;3737;1418
County Durham;E06000047;383796;50595;143922;1052;5717;5799;12741;17013;10262;65444;23837;14190;24887;8337
Hartlepool;E06000001;66804;10092;22635;212;846;892;1855;5194;1787;10621;3042;3265;4733;1630
Middlesbrough;E06000002;100551;15063;31301;300;1068;1331;2472;7631;4416;13922;7453;5569;6841;3184
Northumberland;E06000057;233224;34368;86380;993;5351;5151;10568;10329;5128;43897;8108;8368;10321;4262
Redcar and Cleveland;E06000003;99177;15322;33372;285;1235;1436;2908;6533;2439;19206;4142;4361;5869;2069
Stockton-on-Tees;E06000004;140654;22070;52927;410;2017;2119;4395;8075;4246;20767;7277;5911;6861;3579
Gateshead;E08000037;148079;21023;58988;351;1887;2059;4509;7419;3948;23531;6832;5670;8844;3018
Newcastle upon Tyne;E08000021;212864;25835;69811;675;3017;3204;6236;10652;14418;24571;29253;8868;11509;4815
North Tyneside;E08000022;147889;21815;61349;354;2074;2274;4933;7304;4139;23497;5310;5048;7354;2438
South Tyneside;E08000023;108981;15480;40838;289;1379;1287;2993;7145;3234;17355;4611;4696;7234;2440
Sunderland;E08000024;205552;29186;75899;586;2529;2788;5574;12016;6889;32215;10778;8666;14084;4342
Blackburn with Darwen;E06000008;104417;14535;35597;520;1703;2050;3724;5575;3329;13248;6065;7061;7378;3632
Blackpool;E06000009;103813;14836;34230;349;1646;2415;5550;6337;3177;16807;3809;3943;8228;2486
Cheshire East;E06000049;270953;38940;106863;1205;6533;7713;13605;8742;7652;46446;11341;9591;8327;3995
Cheshire West and Chester;E06000050;243155;36206;95642;887;4729;5711;10529;8949;8125;39893;10746;8620;9574;3544
Halton;E06000006;92708;13102;37219;194;1056;1230;2940;5151;2519;13332;3858;3900;6451;1756
Warrington;E06000007;149461;21782;63875;472;2389;2886;5870;5961;4530;22189;5441;4917;6063;3086
Allerdale;E07000026;70978;11615;25912;353;1771;1543;3639;2553;1518;13422;2128;2274;3215;1035
Barrow-in-Furness;E07000027;51103;8470;18723;171;647;841;1496;2365;1184;9168;1613;1813;3720;892
Carlisle;E07000028;79531;13295;31161;318;1659;1514;3820;2847;2596;12331;2778;2314;3711;1187
Copeland;E07000029;52702;7984;20525;160;847;753;1915;2235;916;9657;1596;1922;2872;1320
Eden;E07000030;38735;6191;13651;254;1517;1434;3480;822;1064;6822;1070;923;1067;440
South Lakeland;E07000031;75831;12015;26863;456;2423;2699;5524;1524;1892;15457;2307;1769;1962;940
Bolton;E08000001;200723;27798;74631;839;3394;4086;8029;9913;6243;29514;10318;9504;11574;4880
Bury;E08000002;134687;19118;53953;533;2539;3129;6019;5769;3620;19558;6074;5168;6596;2611
Manchester;E08000003;382932;41535;128930;1099;4060;6794;11675;21880;27251;29179;53999;18697;25161;12672
Oldham;E08000004;159765;22171;58410;659;2581;3047;6147;8661;4722;22426;8135;9038;9209;4559
Rochdale;E08000005;152742;20101;55604;629;2436;2982;6069;9047;4135;20853;8025;7838;10446;4577
Salford;E08000006;173117;21676;67966;414;2114;2616;6228;9041;8075;20950;10093;7021;11915;5008
Stockport;E08000007;205310;29946;83049;752;4049;4888;9975;8002;5635;31395;8674;7139;8527;3279
Tameside;E08000008;161459;21377;65546;470;2200;2757;6595;8052;4019;23682;6865;6443;9970;3483
