LA Code;LA Name;Conservative;Labour;LibDem and Green;Nationalist;Other;Conservative %;Labour %;LibDem and Green %;Nationalist %;Other %
E06000001;Hartlepool;8256;14076;2102;11052;4004;20.91;35.64;5.32;27.99;10.14
E06000002;Middlesbrough;12307;26431;3700;8942;0;23.95;51.44;7.2;17.4;0
E06000003;Redcar and Cleveland;16636;29292;9989;11616;389;24.49;43.13;14.71;17.1;0.57
E06000004;Stockton-on-Tees;35290;38611;3202;13061;1204;38.62;42.26;3.5;14.29;1.32
E06000005;Darlington;17071;21781;3996;6849;223;34.2;43.63;8;13.72;0.45
E06000006;Halton;12942;33030;2743;7442;300;22.92;58.5;4.86;13.18;0.53
E06000007;Warrington;38725;44898;8245;12666;238;36.96;42.85;7.87;12.09;0.23
E06000008;Blackburn with Darwen;20214;30942;1621;8746;97;32.8;50.21;2.63;14.19;0.16
E06000009;Blackpool;23260;23499;2874;9703;768;38.7;39.1;4.78;16.14;1.28
E06000010;Kingston upon Hull, City of;15266;49127;11570;18666;824;15.99;51.47;12.12;19.56;0.86
E06000011;East Riding of Yorkshire;86151;41136;15724;28192;1956;49.75;23.76;9.08;16.28;1.13
E06000012;North East Lincolnshire;23773;22720;4135;14338;715;36.19;34.59;6.3;21.83;1.09
E06000013;North Lincolnshire;33428;26936;3445;13152;1485;42.61;34.34;4.39;16.77;1.89
E06000014;York;39973;33560;17422;10046;579;39.35;33.04;17.15;9.89;0.57
E06000015;Derby;39412;42132;10365;15959;368;36.41;38.93;9.58;14.74;0.34
E06000016;Leicester;29510;72910;10746;14072;1294;22.96;56.73;8.36;10.95;1.01
E06000017;Rutland;12373;3414;2741;3534;174;55.64;15.35;12.33;15.89;0.78
E06000018;Nottingham;28498;59188;10760;14943;628;24.99;51.91;9.44;13.11;0.55
E06000019;Herefordshire, County of;51560;11520;17526;14674;0;54.11;12.09;18.39;15.4;0
E06000020;Telford and Wrekin;34905;25225;4691;13678;0;44.47;32.13;5.98;17.42;0
E06000021;Stoke-on-Trent;28101;39647;6505;22827;3444;27.95;39.44;6.47;22.71;3.43
E06000022;Bath and North East Somerset;43272;18906;26465;9072;562;44.03;19.24;26.93;9.23;0.57
E06000023;Bristol, City of;59064;78376;52289;22362;987;27.72;36.78;24.54;10.49;0.46
E06000024;North Somerset;56743;18035;19370;17035;311;50.89;16.18;17.37;15.28;0.28
E06000025;South Gloucestershire;66096;31103;28780;19684;133;45.33;21.33;19.74;13.5;0.09
E06000026;Plymouth;48083;36696;10718;19457;258;41.73;31.85;9.3;16.89;0.22
E06000027;Torbay;26456;5824;20455;8383;0;43.29;9.53;33.47;13.72;0
E06000028;Bournemouth;39343;13782;12493;14042;988;48.78;17.09;15.49;17.41;1.23
E06000029;Poole;34063;8026;13226;10844;1834;50.1;11.8;19.45;15.95;2.7
E06000030;Swindon;49072;31501;7001;13931;0;48.34;31.03;6.9;13.72;0
E06000031;Peterborough;34815;22255;6467;13659;612;44.74;28.6;8.31;17.55;0.79
E06000032;Luton;24568;39288;6309;10003;966;30.28;48.42;7.78;12.33;1.19
E06000033;Southend-on-Sea;38630;16905;9183;15077;165;48.31;21.14;11.48;18.86;0.21
E06000034;Thurrock;25725;21402;1263;21240;746;36.55;30.41;1.79;30.18;1.06
E06000035;Medway;56897;27704;6878;29641;724;46.7;22.74;5.64;24.33;0.59
E06000036;Bracknell Forest;32728;9038;6693;8041;148;57.77;15.95;11.82;14.19;0.26
E06000037;West Berkshire;48200;11358;13939;8719;527;58.25;13.73;16.85;10.54;0.64
E06000038;Reading;34547;24729;8126;6266;212;46.76;33.47;11;8.48;0.29
E06000039;Slough;18137;23854;2892;6596;32;35.21;46.31;5.61;12.81;0.06
E06000040;Windsor and Maidenhead;46366;8987;9262;6525;479;64.74;12.55;12.93;9.11;0.67
E06000041;Wokingham;46563;13617;12463;8181;345;57.37;16.78;15.35;10.08;0.43
E06000042;Milton Keynes;54845;36420;10075;14655;646;47.02;31.22;8.64;12.56;0.55
E06000043;Brighton and Hove;46452;49652;33076;9164;896;33.36;35.66;23.75;6.58;0.64
E06000044;Portsmouth;35928;18990;16767;14255;1353;41.16;21.75;19.21;16.33;1.55
E06000045;Southampton;39048;35710;10714;12873;1406;39.15;35.8;10.74;12.91;1.41
E06000046;Isle of Wight;28591;8984;14639;14888;3198;40.67;12.78;20.82;21.18;4.55
E06000047;County Durham;54695;115287;23425;37376;1800;23.52;49.57;10.07;16.07;0.77
E06000049;Cheshire East;100922;49106;19582;25115;61;51.81;25.21;10.05;12.89;0.03
E06000050;Cheshire West and Chester;78827;69983;13386;18925;534;43.39;38.53;7.37;10.42;0.29
E06000051;Shropshire;81530;33487;21710;25511;83;50.23;20.63;13.37;15.72;0.05
E06000052;Cornwall;126818;36171;83028;40704;7425;43.11;12.3;28.23;13.84;2.52
E06000053;Isles of Scilly;261;64;269;81;7;38.27;9.38;39.44;11.88;1.03
E06000054;Wiltshire;138977;30570;51985;34423;1362;54.01;11.88;20.2;13.38;0.53
E06000055;Bedford;41148;24340;7242;9901;252;49.65;29.37;8.74;11.95;0.3
E06000056;Central Bedfordshire;75244;24666;13872;20463;647;55.78;18.29;10.28;15.17;0.48
E06000057;Northumberland;56169;53925;26162;24413;88;34.94;33.54;16.27;15.19;0.05
E07000004;Aylesbury Vale;22546;6737;13064;19224;30993;24.36;7.28;14.11;20.77;33.48
E07000005;Chiltern;31138;6712;7662;7218;0;59.05;12.73;14.53;13.69;0
E07000006;South Bucks;22595;4082;4138;4913;0;63.24;11.43;11.58;13.75;0
E07000007;Wycombe;43007;15234;12008;10971;4201;50.35;17.83;14.06;12.84;4.92
