"","LA.Code","LA.Name","Avg.Property.Price.kGBP"
"1","E06000001","Hartlepool",124.78171398892
"2","E06000002","Middlesbrough",134.874578335658
"3","E06000003","Redcar and Cleveland",134.798902110463
"4","E06000004","Stockton-on-Tees",162.52153500847
"5","E06000005","Darlington",152.567507833603
"6","E06000006","Halton",156.542841269841
"7","E06000007","Warrington",207.176520625889
"8","E06000008","Blackburn with Darwen",133.441182402373
"9","E06000009","Blackpool",119.887632535095
"10","E06000010","Kingston upon Hull, City of",116.585240875912
"11","E06000011","East Riding of Yorkshire",198.574701366837
"12","E06000012","North East Lincolnshire",134.665464884135
"13","E06000013","North Lincolnshire",148.370331351173
"14","E06000014","York",262.808933245383
"15","E06000015","Derby",170.413415972222
"16","E06000016","Leicester",178.509393078512
"17","E06000017","Rutland",310.650758928571
"18","E06000018","Nottingham",156.562669500763
"19","E06000019","Herefordshire, County of",248.849877325765
"20","E06000020","Telford and Wrekin",176.377635359116
"21","E06000021","Stoke-on-Trent",119.156350218743
"22","E06000022","Bath and North East Somerset",391.293796791444
"23","E06000023","Bristol, City of",298.757427334203
"24","E06000024","North Somerset",275.458998067166
"25","E06000025","South Gloucestershire",284.250493519246
"26","E06000026","Plymouth",185.547145096378
"27","E06000027","Torbay",217.458790332326
"28","E06000028","Bournemouth",265.373071570577
"29","E06000029","Poole",356.386653289077
"30","E06000030","Swindon",235.435272992093
"31","E06000031","Peterborough",197.259449341575
"32","E06000032","Luton",237.699998722861
"33","E06000033","Southend-on-Sea",302.723776949541
"34","E06000034","Thurrock",283.569850720659
"35","E06000035","Medway",256.592167203868
"36","E06000036","Bracknell Forest",392.874591439689
"37","E06000037","West Berkshire",394.458556124458
"38","E06000038","Reading",335.366694872714
"39","E06000039","Slough",323.810790619765
"40","E06000040","Windsor and Maidenhead",597.309650312221
"41","E06000041","Wokingham",453.054698592411
"42","E06000042","Milton Keynes",292.876663002274
"43","E06000043","Brighton and Hove",406.839266174921
"44","E06000044","Portsmouth",223.375997202015
"45","E06000045","Southampton",221.950187838503
"46","E06000046","Isle of Wight",228.22591217444
"47","E06000047","County Durham",127.207870919244
"48","E06000049","Cheshire East",271.916945498489
"49","E06000050","Cheshire West and Chester",229.476363306339
"50","E06000051","Shropshire",236.116314329476
"51","E06000052","Cornwall",253.703319719754
"52","E06000053","Isles of Scilly",305.389130434783
"53","E06000054","Wiltshire",301.444476515987
"54","E06000055","Bedford",292.423963008254
"55","E06000056","Central Bedfordshire",327.188147529576
"56","E06000057","Northumberland",190.280946220446
"57","E07000004","Aylesbury Vale",366.045119242724
"58","E07000005","Chiltern",655.900548804137
"59","E07000006","South Bucks",738.513841475573
"60","E07000007","Wycombe",449.662992055268
"61","E07000008","Cambridge",516.524927099045
"62","E07000009","East Cambridgeshire",299.654054765292
"63","E07000010","Fenland",193.832199251637
