"","X.5376B385.492D.34C1.E053.6B04A8C09FF6.","X127000","X2017.05.12.00.00","DE21.4ND","S","N","F","X44","X","RUPERT.ROAD","CHADDESDEN","DERBY","CITY.OF.DERBY","CITY.OF.DERBY.1","A","A.1"
"1","{5376B385-492E-34C1-E053-6B04A8C09FF6}",117500,"2017-05-23 00:00","S43 3DH","T","N","F","47","","WORKSOP ROAD","MASTIN MOOR","CHESTERFIELD","CHESTERFIELD","DERBYSHIRE","A","A"
"2","{5376B385-492F-34C1-E053-6B04A8C09FF6}",205000,"2017-05-08 00:00","DE21 4QY","S","N","F","137","","MORLEY ROAD","OAKWOOD","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"3","{5376B385-4930-34C1-E053-6B04A8C09FF6}",135000,"2017-05-26 00:00","DE11 0EG","S","N","F","21","","QUEENS DRIVE","","SWADLINCOTE","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"4","{5376B385-4931-34C1-E053-6B04A8C09FF6}",332500,"2017-06-09 00:00","DE65 5AS","S","N","F","POST OFFICE COTTAGE","","MAIN STREET","CHURCH BROUGHTON","DERBY","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"5","{5376B385-4932-34C1-E053-6B04A8C09FF6}",318000,"2017-06-22 00:00","DE23 1WD","D","N","F","10","","SOUTH BRAE CLOSE","LITTLEOVER","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"6","{5376B385-4933-34C1-E053-6B04A8C09FF6}",155000,"2017-05-17 00:00","S42 5UL","D","N","F","2","","MEADOW VIEW","HOLMEWOOD","CHESTERFIELD","NORTH EAST DERBYSHIRE","DERBYSHIRE","A","A"
"7","{5376B385-4934-34C1-E053-6B04A8C09FF6}",275000,"2017-05-24 00:00","DE23 2FR","D","N","F","27","","MOORWAY LANE","LITTLEOVER","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"8","{5376B385-4935-34C1-E053-6B04A8C09FF6}",169999,"2017-06-06 00:00","SK13 6JH","D","N","F","27","","GLOSSOP ROAD","GAMESLEY","GLOSSOP","HIGH PEAK","DERBYSHIRE","A","A"
"9","{5376B385-4936-34C1-E053-6B04A8C09FF6}",130000,"2017-05-26 00:00","DE7 5EH","S","N","F","16","","HEATHFIELD AVENUE","","ILKESTON","EREWASH","DERBYSHIRE","A","A"
"10","{5376B385-4937-34C1-E053-6B04A8C09FF6}",85000,"2017-06-09 00:00","DE65 5ER","S","N","L","88","","FIELD AVENUE","HATTON","DERBY","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"11","{5376B385-4938-34C1-E053-6B04A8C09FF6}",101000,"2017-06-12 00:00","DE7 6BH","S","N","F","5","","CLEMENT ROAD","HORSLEY WOODHOUSE","ILKESTON","AMBER VALLEY","DERBYSHIRE","A","A"
"12","{5376B385-4939-34C1-E053-6B04A8C09FF6}",177000,"2017-06-16 00:00","DE56 0LH","S","N","F","5","","BRAMBLE WAY","KILBURN","BELPER","AMBER VALLEY","DERBYSHIRE","A","A"
"13","{5376B385-493A-34C1-E053-6B04A8C09FF6}",160000,"2017-05-05 00:00","S41 7EY","T","N","F","16","","HIGHFIELD ROAD","","CHESTERFIELD","CHESTERFIELD","DERBYSHIRE","A","A"
"14","{5376B385-493C-34C1-E053-6B04A8C09FF6}",116300,"2017-06-02 00:00","SK13 2AD","T","N","F","14","","CHURCH STREET","HADFIELD","GLOSSOP","HIGH PEAK","DERBYSHIRE","A","A"
"15","{5376B385-493D-34C1-E053-6B04A8C09FF6}",450000,"2017-05-26 00:00","DE15 0RY","D","N","F","3","","BRETBY LANE","NEWTON SOLNEY","BURTON-ON-TRENT","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"16","{5376B385-493E-34C1-E053-6B04A8C09FF6}",260000,"2017-05-31 00:00","SK22 2NJ","F","N","L","CLOUGH MILL","25","SLACK LANE","LITTLE HAYFIELD","HIGH PEAK","HIGH PEAK","DERBYSHIRE","A","A"
"17","{5376B385-493F-34C1-E053-6B04A8C09FF6}",303000,"2017-05-22 00:00","SK23 6EJ","D","N","F","SHERIDAN HOUSE","","WHITEHOUGH","CHINLEY","HIGH PEAK","HIGH PEAK","DERBYSHIRE","A","A"
"18","{5376B385-4940-34C1-E053-6B04A8C09FF6}",68000,"2017-06-02 00:00","DE22 3HT","F","N","L","21","","CALIFORNIA GARDENS","","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"19","{5376B385-4941-34C1-E053-6B04A8C09FF6}",118000,"2017-06-09 00:00","DE24 9JQ","T","N","F","55","","MORNINGSIDE CLOSE","ALLENTON","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"20","{5376B385-4942-34C1-E053-6B04A8C09FF6}",120000,"2017-06-16 00:00","DE55 5JN","S","N","F","278","","ALFRETON ROAD","BLACKWELL","ALFRETON","BOLSOVER","DERBYSHIRE","A","A"
"21","{5376B385-4943-34C1-E053-6B04A8C09FF6}",126500,"2017-06-16 00:00","DE21 6HT","S","N","F","11","","YORK ROAD","CHADDESDEN","DERBY","CITY OF DERBY","CITY OF DERBY","A","A"
"22","{5376B385-4946-34C1-E053-6B04A8C09FF6}",150000,"2017-05-12 00:00","DE11 0TP","D","N","F","75","","MAIN STREET","NEWHALL","SWADLINCOTE","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"23","{5376B385-4948-34C1-E053-6B04A8C09FF6}",137500,"2017-05-19 00:00","S41 8HD","S","N","F","16","","KIRKSTONE ROAD","","CHESTERFIELD","CHESTERFIELD","DERBYSHIRE","A","A"
"24","{5376B385-4949-34C1-E053-6B04A8C09FF6}",181000,"2017-05-25 00:00","NG10 3FW","S","N","F","51","","NETHERFIELD ROAD","LONG EATON","NOTTINGHAM","EREWASH","DERBYSHIRE","A","A"
"25","{5376B385-494A-34C1-E053-6B04A8C09FF6}",165000,"2017-04-27 00:00","S45 9HU","D","N","F","8","","LINDEN COURT","CLAY CROSS","CHESTERFIELD","NORTH EAST DERBYSHIRE","DERBYSHIRE","A","A"
"26","{5376B385-494B-34C1-E053-6B04A8C09FF6}",105000,"2017-05-19 00:00","DE11 9JP","T","N","F","17","","CEDAR ROAD","CASTLE GRESLEY","SWADLINCOTE","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
