local authority: district / unitary (prior to April 2015);mnemonic;Europe: Total;Europe: United Kingdom;Africa: Total;Middle East and Asia: Total;The Americas and the Caribbean: Total;Antarctica and Oceania: Total;British Overseas Territories;No passport held
Darlington;E06000005;81714;79944;150;657;140;34;0;22869
County Durham;E06000047;389191;383984;567;2287;806;171;10;120210
Hartlepool;E06000001;68023;67403;93;310;57;25;0;23520
Middlesbrough;E06000002;103655;101304;961;2399;84;24;0;31289
Northumberland;E06000057;249870;247409;189;666;323;114;0;64866
Redcar and Cleveland;E06000003;102629;101917;64;173;84;35;2;32190
Stockton-on-Tees;E06000004;150201;148624;419;1526;194;64;2;39204
Gateshead;E08000037;156711;153505;451;1523;321;42;11;41155
Newcastle upon Tyne;E08000021;215963;207715;2906;11719;660;192;16;48721
North Tyneside;E08000022;163343;161290;400;1044;223;81;2;35708
South Tyneside;E08000023;114423;113466;146;911;103;25;4;32515
Sunderland;E08000024;210431;208107;729;2780;287;35;9;61235
Blackburn with Darwen;E06000008;116673;113369;350;3476;132;25;0;26833
Blackpool;E06000009;106293;103113;178;735;145;30;1;34683
Cheshire East;E06000049;305122;296731;469;1913;584;260;2;61777
Cheshire West and Chester;E06000050;269952;263620;435;1268;500;218;1;57234
Halton;E06000006;98900;97682;76;257;82;34;1;26396
Warrington;E06000007;168651;164231;292;1452;300;117;6;31410
Allerdale;E07000026;73107;72245;69;192;114;40;1;22899
Barrow-in-Furness;E07000027;52638;52118;48;238;75;15;1;16072
Carlisle;E07000028;82957;80610;110;522;156;61;5;23713
Copeland;E07000029;53293;52776;52;279;105;39;0;16835
Eden;E07000030;41246;40499;54;117;41;38;0;11068
South Lakeland;E07000031;84763;82743;152;391;244;112;2;17994
Bolton;E08000001;221853;215692;1415;4747;285;78;1;48407
Bury;E08000002;153055;148045;484;1829;328;69;1;29294
Manchester;E08000003;383007;348887;11067;27624;3328;525;42;77534
Oldham;E08000004;182873;179361;552;4923;189;44;2;36314
Rochdale;E08000005;169678;164460;789;3079;172;62;1;37918
Salford;E08000006;183025;171929;2426;4007;646;156;5;43668
Stockport;E08000007;239109;233630;504;1928;456;149;1;41128
Tameside;E08000008;175971;171580;582;1678;203;55;0;40835
Trafford;E08000009;193873;185957;787;3010;677;219;6;28006
Wigan;E08000010;252907;248737;634;933;226;115;0;63034
Burnley;E07000117;67934;66691;59;989;46;54;6;17971
Chorley;E07000118;86839;85584;102;303;103;35;2;19771
Fylde;E07000119;63103;61894;72;239;118;80;1;12144
Hyndburn;E07000120;62779;61388;64;869;51;14;0;16957
Lancaster;E07000121;108830;104703;380;1773;332;111;3;26946
Pendle;E07000122;71138;69104;55;1380;84;21;0;16774
Preston;E07000123;110353;105514;467;3746;244;51;4;25337
Ribble Valley;E07000124;48811;48068;65;136;62;35;1;8022
Rossendale;E07000125;54476;53702;31;346;66;18;3;13042
South Ribble;E07000126;90022;88646;64;304;91;31;0;18545
West Lancashire;E07000127;90470;88313;86;228;95;37;0;19769
Wyre;E07000128;86665;85689;65;528;91;38;2;20360
Knowsley;E08000011;116819;115789;152;340;97;17;0;28468
Liverpool;E08000012;370398;355741;3566;9666;1156;244;11;81374
Sefton;E08000014;226774;221951;309;615;265;102;2;45723
St. Helens;E08000013;137444;135783;132;383;131;52;0;37166
Wirral;E08000015;259383;255651;330;1147;356;130;0;58437
East Riding of Yorkshire;E06000011;268053;263419;295;1066;412;205;2;64146
Kingston upon Hull, City of;E06000010;182410;172495;1435;3184;250;86;5;69036
North East Lincolnshire;E06000012;116860;114328;209;724;139;44;0;41640
North Lincolnshire;E06000013;123177;117918;239;1057;157;32;0;42784
York;E06000014;161273;155428;694;4047;883;241;11;30902
Craven;E07000163;45508;44755;55;221;81;63;1;9480
Hambleton;E07000164;72618;71451;128;223;126;108;0;15937
Harrogate;E07000165;130246;126094;479;1114;3031;208;3;22788
