local authority: district / unitary (prior to April 2015);mnemonic;Approximated social grade;Approximated social grade AB;Approximated social grade C1;Approximated social grade C2;Approximated social grade DE;AB Percent;C1 Percent;C2 Percent;DE Percent
Darlington;E06000005;34354;6251;10419;7550;10134;18.2;30.33;21.98;29.5
County Durham;E06000047;161327;26241;45794;37096;52196;16.27;28.39;22.99;32.35
Hartlepool;E06000001;29791;3789;7628;7102;11272;12.72;25.61;23.84;37.84
Middlesbrough;E06000002;42957;4951;11438;9008;17560;11.53;26.63;20.97;40.88
Northumberland;E06000057;96661;18766;28745;22647;26503;19.41;29.74;23.43;27.42
Redcar and Cleveland;E06000003;41788;5565;11004;10488;14731;13.32;26.33;25.1;35.25
Stockton-on-Tees;E06000004;59245;10713;17440;13010;18082;18.08;29.44;21.96;30.52
Gateshead;E08000037;65034;11015;19373;13921;20725;16.94;29.79;21.41;31.87
Newcastle upon Tyne;E08000021;90321;18207;30144;14473;27497;20.16;33.37;16.02;30.44
North Tyneside;E08000022;66936;13189;22567;13280;17900;19.7;33.71;19.84;26.74
South Tyneside;E08000023;48307;6608;13798;11120;16781;13.68;28.56;23.02;34.74
Sunderland;E08000024;87431;11239;25987;19471;30734;12.85;29.72;22.27;35.15
Blackburn with Darwen;E06000008;44623;6400;11811;9639;16773;14.34;26.47;21.6;37.59
Blackpool;E06000009;46128;4803;14152;9709;17464;10.41;30.68;21.05;37.86
Cheshire East;E06000049;112617;33501;33768;21356;23992;29.75;29.98;18.96;21.3
Cheshire West and Chester;E06000050;100922;26020;29742;19957;25203;25.78;29.47;19.77;24.97
Halton;E06000006;40674;5573;11743;8721;14637;13.7;28.87;21.44;35.99
Warrington;E06000007;63922;15996;20113;12408;15405;25.02;31.46;19.41;24.1
Allerdale;E07000026;29120;5177;6995;7952;8996;17.78;24.02;27.31;30.89
Barrow-in-Furness;E07000027;22378;3477;5693;6090;7118;15.54;25.44;27.21;31.81
Carlisle;E07000028;34887;5462;9548;8746;11131;15.66;27.37;25.07;31.91
Copeland;E07000029;21692;3819;5526;5447;6900;17.61;25.47;25.11;31.81
Eden;E07000030;15536;3087;3952;4924;3573;19.87;25.44;31.69;23
South Lakeland;E07000031;30160;7530;8262;7983;6385;24.97;27.39;26.47;21.17
Bolton;E08000001;87425;15166;25822;18471;27966;17.35;29.54;21.13;31.99
Bury;E08000002;58376;12436;18970;11623;15347;21.3;32.5;19.91;26.29
Manchester;E08000003;171225;32996;56237;25213;56779;19.27;32.84;14.73;33.16
Oldham;E08000004;67404;9763;18716;15257;23668;14.48;27.77;22.64;35.11
Rochdale;E08000005;66578;9604;18516;14788;23670;14.43;27.81;22.21;35.55
Salford;E08000006;80197;13468;26201;15230;25298;16.79;32.67;18.99;31.54
Stockport;E08000007;87642;22610;28716;17183;19133;25.8;32.77;19.61;21.83
Tameside;E08000008;71475;9822;21632;17517;22504;13.74;30.27;24.51;31.49
Trafford;E08000009;69963;21042;22975;11689;14257;30.08;32.84;16.71;20.38
Wigan;E08000010;101771;15994;28807;24833;32137;15.72;28.31;24.4;31.58
Burnley;E07000117;28112;3584;7371;6664;10493;12.75;26.22;23.71;37.33
Chorley;E07000118;33204;8039;10211;7442;7512;24.21;30.75;22.41;22.62
Fylde;E07000119;22819;6291;7720;4022;4786;27.57;33.83;17.63;20.97
Hyndburn;E07000120;25722;3398;6977;6532;8815;13.21;27.12;25.39;34.27
Lancaster;E07000121;41123;8646;12357;9457;10663;21.02;30.05;23;25.93
Pendle;E07000122;27727;4135;6902;6961;9729;14.91;24.89;25.11;35.09
Preston;E07000123;44648;8329;13948;8793;13578;18.65;31.24;19.69;30.41
Ribble Valley;E07000124;16553;4857;4855;3905;2936;29.34;29.33;23.59;17.74
Rossendale;E07000125;22124;4463;6521;5324;5816;20.17;29.47;24.06;26.29
South Ribble;E07000126;33381;7547;11068;7783;6983;22.61;33.16;23.32;20.92
West Lancashire;E07000127;31974;6815;9713;6909;8537;21.31;30.38;21.61;26.7
Wyre;E07000128;29973;5925;9739;6978;7331;19.77;32.49;23.28;24.46
Knowsley;E08000011;45449;5020;12592;10005;17832;11.05;27.71;22.01;39.24
Liverpool;E08000012;160399;25660;51916;26357;56466;16;32.37;16.43;35.2
Sefton;E08000014;80240;15167;26566;16356;22151;18.9;33.11;20.38;27.61
